Depth, ROP,WHO,WOB,SURF_TRQ ,TRQ_MIN ,TRQ_MAX,TOT_RPM ,FL_PMP, SPP ,SPM1,SPM2 ,SPM3,SPM4,MW_IN,MW_OUT,TMP_IN ,TMP_OUT,   D_EXPO,PMP_TIME,BIT_TIME,TOT_SUR_REVS_OB,SUM_ACTV,   TVD,Torque Min
(m),(m/h),(Klbm),(Klbm),(klbf.ft),(klbf.ft), (klbf.ft),(1/min), (gpm),(psi), (1/min), (1/min), (1/min), (1/min), (g/cm3), (g/cm3),(degC), (degC), (Euc), (h), (h), (Euc), (bbl), (m), (klbf.ft)
146,-999.25,265.96,0,0.14,0.14,0.15,0,152.59,80.05,32,0,0,0,0.32,0.5,37.3,58.4,0.31,0.2,0,0,457.47,146,0.14
146.5,-999.25,266.57,0,1.83,1.02,4.7,8,152.59,82.1,32,0,0,0,0.374,0.5,37.3,58.4,0.31,0.23,0.04,0,455.82,146.5,1.02
147,-999.25,266.55,0,2.36,1.51,3.37,9,152.59,79.49,32,0,0,0,0.384,0.5,37.3,58.4,0.31,0.25,0.06,0,455.85,147,1.51
147.5,-999.25,266.3,0.15,2.88,1.8,3.97,9,152.59,80.69,32,0,0,0,0.385,0.5,37.3,58.4,0.31,0.27,0.08,0,455.75,147.5,1.8
148,25.43,266.56,0.86,1.76,1.08,3.64,9,139.62,80.33,30,0,0,0,0.393,0.5,37.3,58.4,0.38,0.31,0.11,0,455.74,148,1.08
148.5,23.56,266.63,0.8,1.65,1.04,3.63,9,152.59,80.92,32,0,0,0,0.394,0.5,37.3,58.4,0.46,0.35,0.16,0,455.49,148.5,1.04
149,12.97,266.39,1.03,1.93,1.33,6.04,15,51.43,78.69,11,0,0,0,0.377,0.5,37.3,58.4,0.43,0.55,0.42,0,767.77,149,1.33
149.5,8.77,266.52,0.92,2.13,1.49,3.38,20,128.74,79.46,27,0,0,0,0.371,0.5,37.3,58.4,0.38,0.61,0.51,0,838.42,149.5,1.49
150,1.85,266.58,0.86,2.12,1.56,3.24,24,143.05,81.42,30,0,0,0,0.637,0.5,37.3,58.4,0.52,0.64,0.54,0,831.98,150,1.56
150.5,17.23,266.62,0.8,2.43,1.92,3.42,31,143.05,84.49,30,0,0,0,0.928,0.5,37.3,58.4,0.5,0.67,0.57,0,821.91,150.5,1.92
151,12.54,266.51,0.92,2.53,1.97,3.59,31,143.05,88.28,30,0,0,0,0.914,0.5,37.3,58.4,0.48,0.7,0.6,0,813.77,151,1.97
151.5,17.05,286.28,0.68,2.23,1.77,3.57,31,143.05,83.65,30,0,0,0,0.837,0.5,37.3,58.4,0.56,0.75,0.65,0,799.69,151.5,1.77
152,18.03,325.35,0,2.68,1.97,4.23,31,146,82.25,31,0,0,0,0.821,0.5,37.3,58.4,0.47,0.77,0.67,0,792.38,152,1.97
152.5,10.41,325.71,0,2.37,1.85,3.47,31,156.16,83.57,33,0,0,0,0.771,0.5,37.3,58.4,0.46,0.8,0.7,0,784.76,152.5,1.85
153,25.28,325.89,0,2.8,2.02,3.99,31,181.02,81.9,38,0,0,0,0.728,0.5,37.3,58.4,0.46,0.82,0.72,0,777.82,153,2.02
153.5,18.54,324.21,0,2.89,1.98,4.43,38,0,82.4,0,0,0,0,0.693,0.5,37.3,58.4,0.46,0.82,0.8,1,754.85,153.5,1.98
154,30.45,323.3,0,3.42,2.43,4.52,42,0,79.77,0,0,0,0,0.693,0.5,37.3,58.4,0.46,0.82,0.88,1,741.5,154,2.43
154.5,4.68,325.26,0,2.75,2.04,4.09,42,168.43,80.06,35,0,0,0,0.709,0.5,37.3,58.4,0.46,0.84,0.92,1,741.36,154.5,2.04
155,8.41,325.34,0,3.05,2.21,4.64,42,195.5,80.21,41,0,0,0,0.68,0.5,37.3,58.4,0.46,0.86,0.94,1,740.99,155,2.21
155.5,15.5,322.73,0.28,4.48,2.74,6.68,50,227.46,81.59,30,18,0,0,0.615,0.5,37.3,58.4,0.68,0.91,0.99,1,741.45,155.5,2.74
156,29.86,324.95,0.31,4.11,2.72,5.68,50,310.06,91.47,0,65,0,0,0.588,0.5,37.3,58.4,0.63,0.98,1.06,1,742,156,2.72
156.5,5.64,324.39,0.13,4.54,3.49,6.36,50,311.05,92.96,0,65,0,0,0.579,0.5,37.3,58.4,0.48,1,1.08,1,741.64,156.5,3.49
